(2, -2020, -348.875)
(98.3163, -2860.32, -348.875)
(181.445, -3574.77, -347.875)
(181.299, -4382.97, -347.875)
(80.4036, -5104.06, -349.875)
(73.735, -5563.07, -347.875)
(153.354, -6129.25, -347.875)
(189.467, -6753.81, -728.838)
(217.059, -8279.52, -1079.53)
(230.53, -9198.45, -1089.88)
(269.85, -9519.48, -1088.88)
(222.991, -9576.32, -1088.88)
(233.975, -10069, -1089.88)
(264.567, -10821.1, -1107.88)
(269.424, -11515.2, -1107.87)
(287.101, -12020.3, -1107.88)
(294.944, -12806.6, -1107.88)
(283.403, -13326.6, -1107.88)
(305.078, -14461.1, -1197.78)
(329.008, -15244, -1398.1)
(280.06, -15904.1, -1637.61)
(242.241, -16617, -1714.8)
(337.044, -17587.8, -1878.67)
(488.843, -18286.2, -1834.88)
(527.406, -18895.5, -1835.88)
(127.638, -19146.3, -1813.88)
(-91.8242, -20035.8, -1826.88)
(-35.7166, -20872.4, -1850.88)
(-13.4104, -21490.2, -1766.8)
(98.0985, -21962.1, -1688.88)
(174.463, -22841.6, -1654.88)
(191.411, -23765, -1654.88)
(203.369, -24642.6, -1654.88)
(278.439, -25532, -1654.88)
(278.693, -26480, -1654.88)
(261.439, -27373.6, -1654.88)
(256.255, -28202, -1657.88)
(291.572, -29016.7, -1654.88)
(266.16, -29398.4, -1654.88)
(212.976, -30241.2, -1823.88)
(248.719, -30596.1, -1827.88)
(121.581, -30839.8, -1811.2)
(134.777, -30999, -1800.88)
(-54.1799, -31659.6, -1824.88)
(-479.849, -32246.7, -1853.14)
(-947.516, -32657.1, -1898.88)
(-1119.56, -32588.2, -1898.88)
